"filename", "language", "Haskell", "vcd", "YAML", "Graphviz (DOT)", "XML", "JSON", "VHDL", "Xilinx Design Constraints", "Python", "Verilog", "C++", "Cabal", "Markdown", "Shell Script", "comment", "blank", "total"
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntitiyComparisonFsm\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntitiyComparisonFsm\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntityFsm\FSM.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntityFsm\FSM.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 2047, 0, 0, 0, 0, 0, 0, 0, 18, 81, 2146
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntityFsm\FSM_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 8, 361
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntityFsm\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntityFsm\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 0, 90, 119, 536
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.IoBuffer.topEntityComparisonIoBuffer\IoBuffer_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 7, 117
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.IoBuffer.topEntityComparisonIoBuffer\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.IoBuffer.topEntityComparisonIoBuffer\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mem.topEntitiyComparisonMem\Mem.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mem.topEntitiyComparisonMem\Mem.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 19, 22, 135
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mem.topEntitiyComparisonMem\Mem_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 9, 114
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mem.topEntitiyComparisonMem\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mem.topEntitiyComparisonMem\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 15, 7, 82
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Mosic.topEntity\Lib_Mosic_topEntity_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 441, 0, 0, 0, 0, 0, 0, 0, 0, 9, 450
